name,family,hyp_id,obs_minute,direction,n_full,er_full,pf_full,wr_full,n_train,er_train,n_test,er_test,pf_test,wr_test,dsr_test,oos_positive
onpos_low_0.8_90_sm0.75,overnight,7437de575dbb,90,short,479,-0.31648579873836885,0.1427239053888292,0.22129436325678498,323,-0.31453728494974154,156,-0.32052022151866805,0.1190264397020725,0.22435897435897437,5.072095234986318e-29,False
onpos_low_0.8_30_sm0.75,overnight,ddb36dd73b21,30,short,416,-0.3561837695877923,0.12036544180852816,0.20432692307692307,284,-0.3629141259143212,132,-0.34170330597616966,0.11287278202554155,0.21212121212121213,7.2413419825203635e-28,False
onpos_high_0.9_30_sm0.75,overnight,d085a5041cbb,30,long,304,-0.3715753129543846,0.10633079638152369,0.20394736842105263,210,-0.3757917160038362,94,-0.36215568912050305,0.1144347523602536,0.20212765957446807,3.44876822707712e-20,False
onpos_low_0.9_30_sm0.75,overnight,30b0a4b9d743,30,short,268,-0.3924461655960116,0.08921817375170163,0.1828358208955224,185,-0.40356902310593157,83,-0.36765425427872,0.08387451311924785,0.1927710843373494,6.832739137833118e-22,False
onpos_low_0.9_90_sm0.75,overnight,b525ea4ca2a8,90,short,341,-0.3723538104387592,0.09890405859550437,0.18475073313782991,233,-0.36605645984374197,108,-0.3859397612594908,0.07344716117832842,0.19444444444444445,2.664783997393341e-27,False
ib_wide_up_q1.5,ib,da54239b2750,90,long,9,-0.503579060560887,0.11553035752140955,0.3333333333333333,7,-0.4963106213463003,2,-0.5290185978119407,0.0,0.0,,False
volorb_dn_0.2_0.6,volatility,0e9fca4536be,30,short,12,-0.21232673937976457,0.2489691658362348,0.25,11,-0.14019610761785165,1,-1.0057636887608068,0.0,0.0,,False
vwap_ext_long_e1.5_30,vwap,33537dd6146f,30,long,0,,,,0,,0,,,,,False
vwap_ext_short_e1.5_30,vwap,e9e3612070a8,30,short,0,,,,0,,0,,,,,False
vwap_ext_long_e2.0_30,vwap,f9ddca9df5ab,30,long,0,,,,0,,0,,,,,False
vwap_ext_short_e2.0_30,vwap,611e6564dcab,30,short,0,,,,0,,0,,,,,False
vwap_ext_long_e1.5_60,vwap,f8155e227c57,60,long,0,,,,0,,0,,,,,False
vwap_ext_short_e1.5_60,vwap,039de33d5829,60,short,0,,,,0,,0,,,,,False
vwap_ext_long_e2.0_60,vwap,25b8407bfd2d,60,long,0,,,,0,,0,,,,,False
vwap_ext_short_e2.0_60,vwap,249deb0108fa,60,short,0,,,,0,,0,,,,,False
vwap_ext_long_e1.5_90,vwap,143d307c75d0,90,long,0,,,,0,,0,,,,,False
vwap_ext_short_e1.5_90,vwap,1c9aa23040cb,90,short,0,,,,0,,0,,,,,False
vwap_ext_long_e2.0_90,vwap,5bc8f61d8c4e,90,long,0,,,,0,,0,,,,,False
vwap_ext_short_e2.0_90,vwap,f99d208e0b3e,90,short,0,,,,0,,0,,,,,False
mom_up_m0.002_30,momentum,23564bbcb153,30,long,0,,,,0,,0,,,,,False
mom_dn_m0.002_30,momentum,263e97794d26,30,short,0,,,,0,,0,,,,,False
mom_up_m0.003_30,momentum,373374cf68c1,30,long,0,,,,0,,0,,,,,False
mom_dn_m0.003_30,momentum,c9c58ab99d49,30,short,0,,,,0,,0,,,,,False
mom_up_m0.004_30,momentum,71a3e1dd5016,30,long,0,,,,0,,0,,,,,False
mom_dn_m0.004_30,momentum,131949b3f0a3,30,short,0,,,,0,,0,,,,,False
fail_brk_up_30,failed_breakout,ac1f164b3573,30,short,0,,,,0,,0,,,,,False
fail_brk_dn_30,failed_breakout,cc5f4c10397b,30,long,0,,,,0,,0,,,,,False
fail_brk_up_90,failed_breakout,60a281876a44,90,short,0,,,,0,,0,,,,,False
pullback_up_30,pullback,e2e105e4ac9a,30,long,0,,,,0,,0,,,,,False
pullback_dn_30,pullback,18b2acbd2625,30,short,0,,,,0,,0,,,,,False
